Country,Agricultural Land( %),Land Area(Km2),Armed Forces size,Calling Code,Fertility Rate,Forested Area (%),GDP,Life expectancy,Unemployment rate,Population,Official language,Currency-Code,Capital/Major City
Afghanistan,58.10%,652230,323000,93,4.47,2.10%,"$19,101,353,833 ",64.5,11.12%,38041754,Pashto,AFN,Kabul
Albania,43.10%,28748,9000,355,1.62,28.10%,"$15,278,077,447 ",78.5,12.33%,2854191,Albanian,ALL,Tirana
Algeria,17.40%,2381741,317000,213,3.02,0.80%,"$169,988,236,398 ",76.7,11.70%,43053054,Arabic,DZD,Algiers
Andorra,40.00%,468,,376,1.27,34.00%,"$3,154,057,987 ",,,77142,Catalan,EUR,Andorra la Vella
Angola,47.50%,1246700,117000,244,5.52,46.30%,"$94,635,415,870 ",60.8,6.89%,31825295,Portuguese,AOA,Luanda
Antigua and Barbuda,20.50%,443,0,1,1.99,22.30%,"$1,727,759,259 ",76.9,,97118,English,XCD,"St. John's, Saint John"
Argentina,54.30%,2780400,105000,54,2.26,9.80%,"$449,663,446,954 ",76.5,9.79%,44938712,Spanish,ARS,Buenos Aires
Armenia,58.90%,29743,49000,374,1.76,11.70%,"$13,672,802,158 ",74.9,16.99%,2957731,Armenian,AMD,Yerevan
Australia,48.20%,7741220,58000,61,1.74,16.30%,"$1,392,680,589,329 ",82.7,5.27%,25766605,None,AUD,Canberra
Austria,32.40%,83871,21000,43,1.47,46.90%,"$446,314,739,528 ",81.6,4.67%,8877067,German,EUR,Vienna
Azerbaijan,57.70%,86600,82000,994,1.73,14.10%,"$39,207,000,000 ",72.9,5.51%,10023318,Azerbaijani language,AZN,Baku
The Bahamas,1.40%,13880,1000,1,1.75,51.40%,"$12,827,000,000 ",73.8,10.36%,389482,English,,"Nassau, Bahamas"
Bahrain,11.10%,765,19000,973,1.99,0.80%,"$38,574,069,149 ",77.2,0.71%,1501635,Arabic,BHD,Manama
